iter	Passed	Remaining
430	3023	3991
431	3027	3980
432	3032	3970
433	3036	3959
434	3041	3950
435	3043	3936
436	3044	3922
437	3047	3910
438	3050	3897
439	3057	3891
440	3063	3882
441	3066	3871
442	3070	3860
443	3073	3848
444	3078	3839
445	3084	3831
446	3088	3820
447	3090	3807
448	3092	3794
449	3094	3782
450	3100	3774
451	3104	3764
452	3109	3754
453	3113	3744
454	3115	3731
455	3117	3719
456	3121	3709
457	3126	3699
458	3131	3691
459	3135	3680
460	3140	3672
461	3144	3661
462	3146	3649
463	3149	3637
464	3153	3628
465	3156	3616
466	3160	3607
467	3163	3596
468	3170	3589
469	3172	3577
470	3176	3567
471	3179	3556
472	3184	3547
473	3186	3536
474	3191	3527
475	3194	3516
476	3197	3506
477	3199	3494
478	3201	3482
479	3204	3471
480	3206	3460
481	3208	3448
482	3210	3436
483	3213	3426
484	3216	3414
485	3218	3404
486	3222	3394
487	3226	3384
488	3228	3374
489	3231	3363
490	3233	3351
491	3235	3341
492	3237	3329
493	3240	3318
494	3244	3309
495	3246	3299
496	3249	3288
497	3252	3278
498	3254	3267
499	3257	3257
500	3259	3246
501	3261	3235
502	3264	3225
503	3267	3215
504	3269	3204
505	3273	3196
506	3276	3186
507	3280	3177
508	3283	3167
509	3287	3158
510	3289	3148
511	3292	3138
512	3295	3128
513	3298	3118
514	3300	3108
515	3303	3098
516	3306	3088
517	3310	3080
518	3313	3070
519	3316	3061
520	3318	3051
521	3321	3041
522	3325	3033
523	3331	3026
524	3336	3018
525	3343	3013
526	3349	3006
527	3356	3000
528	3363	2994
529	3371	2989
530	3378	2984
531	3386	2979
532	3393	2973
533	3398	2965
534	3403	2958
535	3410	2952
536	3414	2944
537	3421	2938
538	3427	2931
539	3436	2926
540	3442	2920
541	3449	2914
542	3456	2908
543	3464	2904
544	3469	2896
545	3473	2888
546	3477	2879
547	3481	2871
548	3485	2863
549	3488	2854
550	3492	2845
551	3495	2837
552	3499	2828
553	3503	2820
554	3506	2811
555	3510	2803
556	3514	2794
557	3523	2790
558	3530	2785
559	3537	2779
560	3550	2778
561	3559	2774
562	3565	2767
563	3572	2762
564	3582	2758
565	3589	2752
566	3596	2746
567	3607	2743
568	3612	2736
569	3618	2729
570	3623	2722
571	3632	2717
572	3639	2712
573	3649	2708
574	3658	2704
575	3669	2701
576	3678	2697
577	3686	2691
578	3696	2688
579	3703	2681
580	3709	2674
581	3716	2669
582	3723	2663
583	3737	2662
584	3745	2656
585	3751	2650
586	3759	2645
587	3767	2639
588	3773	2632
589	3781	2627
590	3789	2622
591	3796	2616
592	3804	2611
593	3815	2608
594	3824	2603
595	3831	2596
596	3844	2595
597	3855	2591
598	3861	2585
599	3871	2581
600	3881	2576
601	3893	2574
602	3902	2569
603	3911	2564
604	3918	2558
605	3929	2555
606	3944	2553
607	3949	2546
608	3956	2539
609	3963	2534
610	3972	2529
611	3987	2528
612	3995	2522
613	4008	2519
614	4016	2514
615	4021	2506
616	4031	2502
617	4037	2495
618	4047	2491
619	4053	2484
620	4068	2482
621	4075	2476
622	4080	2469
623	4093	2466
624	4099	2459
625	4109	2455
626	4118	2450
627	4126	2444
628	4135	2439
629	4147	2435
630	4157	2431
631	4165	2425
632	4178	2422
633	4188	2417
634	4195	2411
635	4208	2408
636	4218	2403
637	4223	2396
638	4229	2389
639	4253	2392
640	4277	2395
641	4285	2389
642	4292	2383
643	4306	2380
644	4313	2374
645	4320	2367
646	4326	2360
647	4335	2355
648	4339	2346
649	4344	2339
650	4350	2332
651	4359	2326
652	4367	2320
653	4380	2317
654	4389	2312
655	4400	2307
656	4407	2301
657	4415	2295
658	4435	2295
659	4442	2288
660	4451	2283
661	4460	2277
662	4469	2271
663	4478	2266
664	4489	2261
665	4498	2255
666	4506	2249
667	4514	2243
668	4522	2237
669	4531	2231
670	4546	2229
671	4554	2223
672	4562	2216
673	4571	2210
674	4579	2204
675	4586	2198
676	4593	2191
677	4599	2184
678	4607	2178
679	4613	2171
680	4620	2164
681	4648	2167
682	4657	2161
683	4688	2166
684	4700	2161
685	4707	2154
686	4716	2148
687	4725	2142
688	4735	2137
689	4745	2131
690	4756	2126
691	4762	2119
692	4771	2113
693	4777	2106
694	4785	2100
695	4789	2091
696	4794	2084
697	4798	2075
698	4808	2070
699	4816	2064
700	4822	2056
701	4828	2049
702	4833	2042
703	4845	2037
704	4849	2029
705	4855	2022
706	4861	2014
707	4869	2008
708	4874	2000
709	4881	1993
710	4886	1986
711	4893	1979
712	4900	1972
713	4909	1966
714	4915	1959
715	4925	1953
716	4933	1947
717	4939	1939
718	4946	1933
719	4951	1925
720	4961	1919
721	4968	1912
722	4974	1905
723	4980	1898
724	4984	1890
725	4991	1883
726	4998	1876
727	5005	1870
728	5013	1863
729	5020	1856
730	5026	1849
731	5031	1842
732	5036	1834
733	5044	1828
734	5052	1821
735	5056	1813
736	5061	1806
737	5067	1799
738	5077	1793
739	5085	1786
740	5092	1779
741	5099	1773
742	5106	1766
743	5113	1759
744	5116	1751
745	5121	1743
746	5125	1736
747	5130	1728
748	5135	1720
749	5140	1713
750	5145	1706
751	5148	1698
752	5154	1690
753	5158	1682
754	5165	1676
755	5175	1670
756	5181	1663
757	5185	1655
758	5208	1653
759	5219	1648
760	5232	1643
761	5240	1636
762	5248	1630
763	5258	1624
764	5271	1619
765	5281	1613
766	5294	1608
767	5304	1602
768	5308	1594
769	5315	1587
770	5328	1582
771	5336	1576
772	5340	1568
773	5349	1562
774	5357	1555
775	5366	1548
776	5373	1542
777	5387	1537
778	5395	1530
779	5399	1522
780	5410	1517
781	5418	1510
782	5425	1503
783	5430	1496
784	5446	1491
785	5452	1484
786	5462	1478
787	5468	1471
788	5475	1464
789	5481	1457
790	5487	1450
791	5496	1443
792	5506	1437
793	5514	1430
794	5524	1424
795	5542	1420
796	5554	1414
797	5564	1408
798	5573	1401
799	5586	1396
800	5593	1389
801	5600	1382
802	5606	1375
803	5613	1368
804	5624	1362
805	5632	1355
806	5640	1348
807	5652	1343
808	5659	1336
809	5665	1328
810	5674	1322
811	5682	1315
812	5687	1308
813	5694	1301
814	5706	1295
815	5717	1289
816	5726	1282
817	5734	1275
818	5743	1269
819	5751	1262
820	5757	1255
821	5767	1249
822	5776	1242
823	5788	1236
824	5809	1232
825	5817	1225
826	5835	1220
827	5843	1213
828	5850	1206
829	5856	1199
830	5865	1192
831	5874	1186
832	5882	1179
833	5891	1172
834	5911	1168
835	5918	1161
836	5926	1154
837	5933	1147
838	5938	1139
839	5952	1133
840	5956	1126
841	5963	1119
842	5971	1112
843	5983	1105
844	5990	1098
845	5996	1091
846	6010	1085
847	6017	1078
848	6024	1071
849	6033	1064
850	6041	1057
851	6046	1050
852	6051	1042
853	6058	1035
854	6069	1029
855	6079	1022
856	6087	1015
857	6104	1010
858	6110	1003
859	6117	995
860	6127	989
861	6135	982
862	6143	975
863	6151	968
864	6163	961
865	6174	955
866	6181	948
867	6189	941
868	6200	934
869	6206	927
870	6217	920
871	6225	913
872	6229	906
873	6233	898
874	6238	891
875	6255	885
876	6262	878
877	6287	873
878	6295	866
879	6303	859
880	6314	852
881	6319	845
882	6327	838
883	6335	831
884	6343	824
885	6351	817
886	6359	810
887	6370	803
888	6378	796
889	6384	789
890	6391	781
891	6400	774
892	6407	767
893	6414	760
894	6420	753
895	6426	745
896	6435	738
897	6440	731
898	6446	724
899	6451	716
900	6457	709
901	6464	702
902	6470	695
903	6475	687
904	6482	680
905	6493	673
906	6499	666
907	6504	659
908	6509	651
909	6513	644
910	6520	637
911	6527	629
912	6533	622
913	6537	615
914	6543	607
915	6549	600
916	6556	593
917	6562	586
918	6567	578
919	6572	571
920	6580	564
921	6586	557
922	6591	549
923	6597	542
924	6602	535
925	6610	528
926	6616	521
927	6621	513
928	6626	506
929	6632	499
930	6638	491
931	6643	484
932	6649	477
933	6655	470
934	6661	463
935	6668	455
936	6675	448
937	6681	441
938	6685	434
939	6689	426
940	6693	419
941	6698	412
942	6702	405
943	6706	397
944	6711	390
945	6715	383
946	6719	376
947	6723	368
948	6728	361
949	6734	354
950	6740	347
951	6746	340
952	6752	333
953	6758	325
954	6763	318
955	6767	311
956	6770	304
957	6774	296
958	6778	289
959	6782	282
960	6786	275
961	6790	268
962	6794	261
963	6799	253
964	6802	246
965	6807	239
966	6814	232
967	6818	225
968	6822	218
969	6827	211
970	6832	204
971	6837	196
972	6841	189
973	6846	182
974	6850	175
975	6854	168
976	6858	161
977	6862	154
978	6867	147
979	6871	140
980	6876	133
981	6881	126
982	6886	119
983	6891	112
984	6896	105
985	6900	97
986	6904	90
987	6909	83
988	6913	76
989	6918	69
990	6922	62
991	6926	55
992	6930	48
993	6936	41
994	6940	34
995	6942	27
996	6947	20
997	6951	13
998	6956	6
999	6962	0
